Country,Infectious_and_parasitic_diseases,Respiratory_Infectious,Maternal_conditions,Neonatal_conditions,Nutritional_deficiencies,Malignant_neoplasms,Other_neoplasms,Diabetes_mellitus,Endocrine_blood_immune_disorders,Mental_and_substance_use_disorders,Neurological_conditions,Sense_organ_diseases,Cardiovascular_diseases,Respiratory_diseases,Digestive_diseases,Genitourinary_diseases,Skin_diseases,Musculoskeletal_diseases,Congenital_anomalies,Oral_conditions,Sudden_infant_death_syndrome,Unintentional_injuries,Intentional_injuries,id,Population
Mali,4654.2,1195.1,277.8,2309.4,821.6,338.7,7.7,90.8,191.0,300.8,157.3,183.8,687.7,216.7,277.4,184.4,63.9,117.9,392.2,26.6,20.4,947.5,214.7,MLI,"17,995"
Malta,0.8,2.9,0.0,1.8,0.3,21.2,0.4,4.3,1.0,10.3,7.7,5.6,24.0,4.8,2.5,2.5,1.3,8.6,1.9,2.1,0.0,6.0,1.8,MLT,429
Mauritania,496.4,227.3,57.9,427.8,94.8,60.9,2.8,21.3,25.2,74.5,42.8,51.8,143.3,30.5,56.0,40.0,16.4,34.9,73.1,8.0,4.9,162.2,40.8,MRT,"4,301"
Mauritius,14.9,7.6,0.5,11.1,9.9,34.6,2.1,71.1,4.6,28.4,16.0,19.4,80.8,26.0,11.6,9.8,4.9,20.0,7.2,3.9,0.1,22.1,7.0,MUS,"1,262"
Mexico,945.0,913.9,60.7,1380.8,487.4,2392.1,188.1,3507.6,413.6,2587.3,1480.8,1573.1,3539.8,950.6,2026.2,1212.3,391.3,1519.1,1165.6,403.3,31.8,2247.5,1781.5,MEX,"127,540"
Micronesia (Federated States of),2.8,2.0,0.1,3.4,0.8,2.4,0.0,2.3,0.3,1.8,0.9,1.2,5.8,1.6,0.8,1.3,0.4,1.1,1.3,0.1,0.0,2.0,1.1,FSM,105
Mongolia,60.3,26.5,1.7,55.7,17.5,124.6,2.9,7.4,7.2,78.8,30.0,32.6,207.4,15.8,56.6,23.4,7.6,28.8,29.5,7.8,0.7,102.4,37.7,MNG,"3,027"
Montenegro,1.4,1.7,0.1,2.9,1.3,40.3,0.1,5.8,1.0,13.2,10.0,10.2,66.5,4.7,4.3,4.6,1.5,9.9,1.3,2.4,0.1,15.0,3.5,MNE,629
Morocco,431.0,346.9,33.1,998.9,152.3,839.4,46.0,404.6,99.9,934.5,526.1,541.0,1394.2,225.8,161.9,305.7,90.9,547.6,331.0,108.4,16.8,703.4,91.0,MAR,"35,277"
Mozambique,7540.1,1286.5,240.3,2541.4,546.0,850.1,22.4,120.0,133.4,527.0,228.5,301.6,672.8,181.9,245.3,152.8,139.5,186.2,484.9,38.7,45.6,1244.5,159.5,MOZ,"28,829"
Myanmar,3056.9,1244.4,78.5,1922.6,339.3,1734.2,22.4,631.7,166.2,965.9,659.5,1184.2,2819.1,1116.9,1270.3,589.5,226.4,671.3,509.5,88.6,32.8,1769.1,467.8,MMR,"52,885"
Namibia,369.5,86.4,14.9,110.4,30.5,35.5,1.9,27.6,9.3,52.5,29.4,26.1,81.0,28.7,18.6,14.8,9.6,20.5,30.1,6.1,1.7,83.0,41.1,NAM,"2,480"
Nepal,1135.1,482.4,76.0,980.9,211.6,593.8,8.7,225.1,64.4,595.1,342.4,333.5,1363.0,576.8,307.1,244.7,97.2,373.3,225.1,45.6,21.0,759.9,215.9,NPL,"28,983"
Netherlands,52.9,88.1,1.3,53.6,15.7,1036.0,29.7,129.2,41.2,451.7,427.0,200.3,673.7,252.2,102.9,96.3,48.9,373.1,58.6,98.5,0.8,234.3,94.3,NLD,"16,987"
New Zealand,9.6,17.2,0.7,18.0,2.6,205.3,4.2,28.8,10.7,132.6,79.7,49.2,169.6,61.8,21.5,17.7,14.1,97.5,17.4,18.2,1.6,75.1,33.2,NZL,"4,661"
Nicaragua,69.0,68.4,11.8,76.8,20.8,127.9,3.1,67.6,11.6,137.1,78.4,81.3,173.1,37.3,85.7,112.7,18.0,67.0,65.2,16.1,2.4,137.0,102.7,NIC,"6,150"
Niger,4612.8,1975.4,352.3,2232.1,844.9,238.7,7.2,100.2,238.3,350.8,172.4,240.3,724.4,178.7,320.5,188.9,71.3,139.6,430.9,29.9,23.6,1294.2,204.5,NER,"20,673"
Nigeria,47919.0,18728.9,4358.0,20339.8,5726.9,3048.9,148.7,947.2,3159.6,3791.1,2010.6,1849.3,6952.8,1600.9,4196.3,1500.7,804.0,1451.8,4137.9,187.9,213.5,9288.6,2614.3,NGA,"185,990"
